time (s),w,x-axis,y-axis,z-axis,class
1661434228037.09,0.88,-0.134,-0.414,-0.189,0
1661434228038.087,0.896,-0.129,-0.376,-0.198,0
1661434228050.707,0.91,-0.123,-0.338,-0.208,0
1661434228057.6511,0.922,-0.117,-0.299,-0.217,0
1661434228087.919,0.932,-0.11,-0.261,-0.225,0
1661434228089.564,0.941,-0.104,-0.222,-0.233,0
1661434228095.5752,0.948,-0.097,-0.185,-0.24,0
1661434228096.548,0.953,-0.091,-0.149,-0.247,0
1661434228110.832,0.957,-0.085,-0.115,-0.254,0
1661434228140.947,0.959,-0.08,-0.082,-0.26,0
1661434228148.51,0.96,-0.075,-0.051,-0.265,0
1661434228148.9302,0.96,-0.071,-0.022,-0.27,0
1661434228155.9092,0.959,-0.067,0.005,-0.274,0
1661434228177.8892,0.958,-0.064,0.029,-0.278,0
1661434228201.169,0.956,-0.061,0.051,-0.281,0
1661434228215.987,0.955,-0.06,0.071,-0.283,0
1661434228223.074,0.953,-0.058,0.089,-0.285,0
1661434228224.728,0.95,-0.056,0.106,-0.287,0
1661434228231.154,0.947,-0.054,0.125,-0.29,0
1661434228232.705,0.944,-0.052,0.145,-0.292,0
1661434228232.705,0.94,-0.051,0.166,-0.295,0
1661434228238.04,0.935,-0.05,0.187,-0.297,0
1661434228245.838,0.93,-0.048,0.208,-0.3,0
1661434228260.796,0.925,-0.047,0.227,-0.302,0
1661434228268.142,0.92,-0.046,0.243,-0.304,0
1661434228276.294,0.916,-0.045,0.257,-0.306,0
1661434228291.052,0.912,-0.044,0.269,-0.307,0
1661434228298.259,0.909,-0.043,0.279,-0.308,0
1661434228305.8691,0.906,-0.041,0.286,-0.309,0
1661434228320.863,0.904,-0.041,0.293,-0.31,0
1661434228351.329,0.902,-0.04,0.297,-0.31,0
1661434228352.553,0.901,-0.039,0.301,-0.31,0
1661434228352.553,0.9,-0.039,0.303,-0.31,0
1661434228358.5369,0.9,-0.038,0.304,-0.31,0
1661434228365.562,0.901,-0.038,0.302,-0.309,0
1661434228381.16,0.902,-0.038,0.298,-0.309,0
1661434228388.457,0.905,-0.038,0.291,-0.308,0
1661434228395.439,0.909,-0.039,0.279,-0.306,0
1661434228411.4312,0.915,-0.041,0.262,-0.304,0
1661434228418.596,0.922,-0.044,0.24,-0.301,0
1661434228426.121,0.929,-0.048,0.213,-0.298,0
1661434228440.891,0.937,-0.053,0.18,-0.294,0
